session_id,visitor_id,start_time,end_time,duration_seconds,front_facing_seconds,not_facing_seconds,front_facing_ratio_percent,max_continuous_facing_seconds,dominant_interest_level,highest_interest_level_reached,dominant_age_group,average_age_confidence,dominant_gender,average_gender_confidence,record_count
20260618_151042,visitor_001,2026-06-18 15:10:46,2026-06-18 15:11:01,16.0,13,4,76.47,10.44,high_interest,high_interest,young,0.7182,female,0.7352,17
20260618_151042,visitor_002,2026-06-18 15:11:02,2026-06-18 15:11:27,26.0,16,9,64.0,10.5,uninterested,high_interest,young,0.8041,male,0.8251,25
